Question,Ans1,Ans2,Ans3,Ans4,Correct ans,Check/Radio
What is the primary benefit of cloud computing?,Increased capital expenses,Scalability,Limited access,None of the above,Scalability,Radio
Which AWS service is primarily used for object storage?,Amazon EC2,Amazon S3,Amazon RDS,AWS Lambda,Amazon S3,Radio
What does AWS stand for?,,,,,,Radio
True or False: AWS provides a free tier for new users.,,,,,,Radio
Which of the following is a benefit of using cloud services?,Increased latency,Global reach,Limited scalability,Higher costs,Global reach,Radio
What is the purpose of AWS Identity and Access Management (IAM)?,,,,,,Radio
"Fill in the blank: The three main service models of cloud computing are IaaS, PaaS, and",,,,,,Radio
Which AWS service is used for monitoring and logging?,Amazon CloudWatch,Amazon S3,AWS CloudTrail,AWS Config,Amazon CloudWatch,Radio
What is the AWS pricing model that allows you to pay only for what you use?,,,,,,Radio
Which AWS service is used for content delivery?,Amazon CloudFront,Amazon S3,Amazon EC2,AWS Lambda,Amazon CloudFront,Radio
True or False: AWS allows you to deploy applications in multiple regions.,,,,,,Radio
What is the primary purpose of AWS CloudTrail?,,,,,,Radio
Which AWS service is used for serverless computing?,Amazon EC2,AWS Lambda,Amazon RDS,Amazon S3,AWS Lambda,Radio
What is the function of Amazon Route 53?,,,,,,Radio
Which AWS service is used for data archiving?,Amazon S3 Glacier,Amazon RDS,Amazon EC2,AWS Lambda,Amazon S3 Glacier,Radio
True or False: AWS supports hybrid cloud architectures.,,,,,,Radio
What is the function of AWS Auto Scaling?,,,,,,Radio
Fill in the blank: The AWS service that provides a managed NoSQL database is called,,,,,,Radio
Which AWS service is used for data backup and recovery?,Amazon S3,AWS Backup,Amazon Glacier,Amazon RDS,AWS Backup,Radio
What is the purpose of AWS Trusted Advisor?,,,,,,Radio
Which AWS service is best suited for deploying a web application?,Amazon EC2,Amazon S3,AWS Lambda,Amazon RDS,Amazon EC2,Radio
True or False: Amazon RDS supports multiple database engines.,,,,,,Radio
"Fill in the blank: To ensure high availability, you should deploy your application across",,,,,,Radio
What is the main purpose of AWS CloudFormation?,,,,,,Radio
Which AWS service is used for application load balancing?,Amazon Route 53,AWS Elastic Load Balancing,Amazon CloudFront,Amazon EC2,AWS Elastic Load Balancing,Radio
What is the primary benefit of using Amazon S3?,,,,,,Radio
Which AWS service is used for real-time data streaming?,Amazon Kinesis,Amazon S3,Amazon RDS,AWS Lambda,Amazon Kinesis,Radio
True or False: AWS Lambda can only run code written in Python.,,,,,,Radio
What is the purpose of Amazon Elastic Block Store (EBS)?,,,,,,Radio
Which AWS service is used for serverless data processing?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,AWS Lambda,Radio
What is the function of AWS Config?,,,,,,Radio
Which AWS service is best for creating a virtual private cloud?,Amazon VPC,Amazon EC2,Amazon S3,AWS Lambda,Amazon VPC,Radio
True or False: AWS Direct Connect allows you to establish a dedicated network,,,,,,Radio
What is the main benefit of using Amazon CloudFront?,,,,,,Radio
Which AWS service is used for managing and deploying Docker containers?,Amazon ECS,Amazon EC2,AWS Lambda,Amazon S3,Amazon ECS,Radio
What is the purpose of AWS Well-Architected Tool?,,,,,,Radio
Which AWS service is used for data warehousing?,Amazon RDS,Amazon Redshift,Amazon DynamoDB,Amazon S3,Amazon Redshift,Radio
Fill in the blank: The AWS service that allows you to run containerized applications is,,,,,,Radio
What is the primary function of AWS Organizations?,,,,,,Radio
Which AWS service is used for machine learning?,Amazon SageMaker,Amazon EC2,Amazon RDS,Amazon S3,Amazon SageMaker,Radio
True or False: AWS provides a service for monitoring application performance called,,,,,,Radio
What is the purpose of AWS Secrets Manager?,,,,,,Radio
